,DIS,processed_text,bert_sentiment
2023-02-12 18:35:03,Paul Begala: Joe Biden Has A Secret Weapon For Winning Re-Election In 2024: ‘The Republicans’,paul begala joe biden secret weapon winning reelection republicans,Positive
2023-02-12 18:44:29,Disney Reveals $3.6 Billion Of Hotel Revenue In Paris,disney reveals billion hotel revenue paris,Positive
2023-02-12 18:48:47,Ryan Reynolds Offers Chance To Win Tickets To Next Year’s Super Bowl,ryan reynolds offers chance win tickets next years super bowl,Positive
2023-02-13 12:31:00,The 10 Highest Paid Entertainers Of 2022,highest paid entertainers,Positive
2023-02-13 13:00:30,Guess Who Loses After Florida and Texas Bar Wall Street ESG Banks?,guess loses florida texas bar wall street esg banks,Negative
2023-02-13 15:00:00,Love in the Time of Fentanyl Tells the Whole Truth,love time fentanyl tells whole truth,Positive
2023-02-13 15:53:47,Disney is planning an Avatar experience at Disneyland,disney planning avatar experience disneyland,Positive
2023-02-13 16:10:47,"DeSantis Is More Popular Than Trump Among These Key Groups Ahead Of 2024, Poll Finds",desantis popular trump among key groups ahead poll finds,Neutral
2023-02-13 16:11:10,"The Tories Spent Over $410,000 On Restaurants And Bars, Says Labour",tories spent restaurants bars says labour,Negative
2023-02-13 16:35:16,2023 Layoff Tracker: Twilio Cuts 17%,layoff tracker twilio cuts,Negative
2023-02-13 17:26:21,"Super Bowl ad hits feature 'The Flash', Disney as automakers pull back",super bowl ad hits feature flash disney automakers pull back,Positive
2023-02-13 17:29:18,"Walmart Closes Pickup-Only Grocery, But Others Are Just Getting Started",walmart closes pickuponly grocery others getting started,Neutral
2023-02-13 18:21:31,Here are the top movie trailers that aired during the 2023 Super Bowl,top movie trailers aired super bowl,Positive
2023-02-13 18:29:11,Eternals Was Over Budget Says Marvel,eternals budget says marvel,Negative
2023-02-13 19:40:00,"Disney's Pirates of the Caribbean Ride Sinks, Riders Rescued",disney pirates caribbean ride sinks riders rescued,Negative
2023-02-13 21:48:00,Disney's Super Bowl Ad Under Fire Online Amid Planned Layoffs,disney super bowl ad fire online amid planned layoffs,Negative
2023-02-13 22:22:00,How Nelson Peltz and Disney’s Marvel Chief Teamed Up in Proxy Fight,nelson peltz disneys marvel chief teamed proxy fight,Positive
2023-02-13 23:08:00,"Dogs Win the Super Bowl Ad Lineup, Surveys Show",dogs win super bowl ad lineup surveys show,Positive
2023-02-13 23:17:00,Tubi's Super Bowl Ad Made Everyone Yell at the Television,tubi super bowl ad made everyone yell television,Positive
2023-02-13 23:24:15,"NBC Sports hopes to make an aggressive bid to bring back the NBA, sources say",nbc sports hopes make aggressive bid bring back nba sources say,Negative
2023-02-13 23:39:47,Netflix Is Removing All 5 Seasons Of ‘Arrested Development’,netflix removing seasons arrested development,Negative
2023-02-14 00:42:00,"‘Unscripted’ Review: Sex, Lies and Viacom",unscripted review sex lies viacom,Negative
2023-02-14 05:06:02,Basel's Fondation Beyeler explores how Wayne Thiebaud goes beyond pop art,basel fondation beyeler explores wayne thiebaud goes beyond pop art,Positive
2023-02-14 13:25:33,5 things to know before the stock market opens Tuesday,things know stock market opens tuesday,Positive
2023-02-14 16:11:17,15 Great Romantic Movies And Rom-Coms To Watch This Valentine’s Day,great romantic movies romcoms watch valentines day,Positive
2023-02-14 16:48:42,"As ‘You’ Season 4 Part 2 Looms, Is This Netflix Slowly Killing The Binge Model?",season part looms netflix slowly killing binge model,Negative
2023-02-14 17:44:22,Crypto’s Football Fan Tokens Prove An Own Goal For Many,cryptos football fan tokens prove goal many,Negative
2023-02-14 19:05:47,The backlash to the ESG backlash is here,backlash esg backlash,Positive
2023-02-14 20:29:13,Peacock will no longer include its free Premium offering as part of Xfinity bundle on June 26,peacock longer include free premium offering part xfinity bundle june,Negative
2023-02-14 22:35:31,"At Kings & Queens Of Corbet’s In Jackson Hole, Women Reign—On And Off The Slopes",kings queens corbets jackson hole women reignon slopes,Positive
2023-02-14 22:40:59,Netflix Sets Date For Chris Rock Special—Streamer’s First Live Performance,netflix sets date chris rock specialstreamers first live performance,Positive
2023-02-14 23:43:13,"Dave Hollis, Disney exec turned self-help author, dies at 47",dave hollis disney exec turned selfhelp author dies,Negative
2023-02-14 23:58:53,Chris Sununu could carry the moderate banner in 2024 ,chris sununu could carry moderate banner,Neutral
2023-02-15 01:49:36,"Bolsonaro Breaks Silence—Says He Will Return To Brazil In March To Lead Opposition, Report Says",bolsonaro breaks silencesays return brazil march lead opposition report says,Negative
2023-02-15 07:40:00,"Entrepreneur | Walmart Tech Hubs to Shut Down, Staff Returns to Offices",entrepreneur walmart tech hubs shut staff returns offices,Negative
2023-02-15 12:03:53,Amsterdam’s Amberscript acquires two competitors to cement leadership position in the subtitling market,amsterdams amberscript acquires two competitors cement leadership position subtitling market,Positive
2023-02-15 13:02:57,Former Disney executive and author Dave Hollis dies aged 47,former disney executive author dave hollis dies aged,Neutral
2023-02-15 13:28:31,Lawmakers Consider Whether Taxpayers Should Foot The Bill For Remote State Workers,lawmakers consider whether taxpayers foot bill remote state workers,Negative
2023-02-15 13:57:52,Marvel top boss wants to space out show releases on Disney+,marvel top boss wants space show releases disney,Positive
2023-02-15 14:21:27,Planet Hollywood Reports $8 Million Revenue Before Closure At Disneyland Paris,planet hollywood reports million revenue closure disneyland paris,Negative
2023-02-15 14:21:51,Pentagon Practiced Shooting Down Spy Balloons In Alaska Wargame Two Years Ago,pentagon practiced shooting spy balloons alaska wargame two years ago,Negative
2023-02-15 15:15:10,"Missing A Debt Payment, Diamond Sports Is On The Verge Of Bankruptcy; Upending Local Sports Revenue Model",missing debt payment diamond sports verge bankruptcy upending local sports revenue model,Negative
2023-02-15 15:17:00,"HUBUC lanza P1, plataforma global de emisión y procesamiento de tarjetas, convirtiéndose en un socio de la red de Mastercard",hubuc lanza plataforma global de emisin procesamiento de tarjetas convirtindose en un socio de la red de mastercard,Positive
2023-02-15 16:00:55,"Superplastic, a creator of ‘synthetic’ influencers, raises $20M led by Amazon in deal to make TV shows and more",superplastic creator synthetic influencers raises led amazon deal make tv shows,Positive
2023-02-15 16:12:27,Regional sports network owner Diamond Sports prepares for possible bankruptcy,regional sports network owner diamond sports prepares possible bankruptcy,Positive
2023-02-15 17:53:30,"Universal raises hourly wage to $17, setting pace for parks",universal raises hourly wage setting pace parks,Positive
2023-02-15 19:01:37,Bally regional sport networks’ parent misses payments,bally regional sport networks parent misses payments,Neutral
2023-02-15 19:38:35,"'Ant-Man and the Wasp in Quantumania' reviews: The villain is good, but the movie is bad",antman wasp quantumania reviews villain good movie bad,Neutral
2023-02-15 20:27:25,Grammy And Oscar Winner D’Mile Talks New Record Label With Disney: ‘The Possibilities Are Endless’,grammy oscar winner dmile talks new record label disney possibilities endless,Positive
2023-02-15 21:00:00,The 8 Best Movies on Hulu This Week,best movies hulu week,Positive
2023-02-15 23:00:00,"National Geographic Announces Premiere Date for Limited Series A Small Light; Told With a Modern Sensibility, A Small Light Tells the Remarkable True Story of Miep Gies, Who Risked Everything to Hide Anne Frank and Her Family in Amsterdam",national geographic announces premiere date limited series small light told modern sensibility small light tells remarkable true story miep gies risked everything hide anne frank family amsterdam,Positive
2023-02-16 01:31:20,Is Disney's magic spell wearing off?,disney magic spell wearing,Negative
2023-02-16 08:07:00,"HUBUC lance P1, un moteur logiciel processeur-émetteur de cartes de paiement global, et devient Mastercard Network Enablement Partner.",hubuc lance un moteur logiciel processeurmetteur de cartes de paiement global et devient mastercard network enablement partner,Positive
2023-02-16 12:00:19,Lightspeed backs CommandK’s mission to become the go-to enterprise security command center,lightspeed backs commandks mission become goto enterprise security command center,Positive
2023-02-16 12:30:00,The Gag-Gift Tycoon Who Filled Suburban Lawns With Inflatables,gaggift tycoon filled suburban lawns inflatables,Positive
2023-02-16 12:32:00,Hasbro 2023 profit forecast disappoints as toy demand drops sharply,hasbro profit forecast disappoints toy demand drops sharply,Negative
2023-02-16 13:00:00,The 2023 Top 25 Historic Hotels Worldwide Afternoon Tea Experiences List Is Announced,top historic hotels worldwide afternoon tea experiences list announced,Positive
2023-02-16 13:02:26,"Hong Kong looks to jumpstart tourism with free plane tickets, vouchers",hong kong looks jumpstart tourism free plane tickets vouchers,Positive
2023-02-16 14:52:00,KPMG cuts nearly 2% of US staff,kpmg cuts nearly us staff,Negative
2023-02-16 15:03:00,"Activist investors to push for margins, profitability in first half of 2023",activist investors push margins profitability first half,Positive
2023-02-16 15:23:42,Africa OTT TV and Video Markets Report 2023-2028: Africa to,africa ott tv video markets report africa,Positive
2023-02-16 15:24:00,Ryan Seacrest Says He’s Leaving ‘Live with Kelly and Ryan’ After Six Years,ryan seacrest says hes leaving live kelly ryan six years,Positive
2023-02-16 15:25:34,Netflix Debuts A ‘You’ Season 4 Part 2 Trailer With A Major Spoiler Inside,netflix debuts season part trailer major spoiler inside,Positive
2023-02-16 15:26:14,Paramount Gains Subscribers As Disney+ Reports Losses: Where All The Major Streaming Services Stand,paramount gains subscribers disney reports losses major streaming services stand,Negative
2023-02-16 16:28:58,"Paramount+ Adds An Industry-Best 9.9 Million Subscribers, Crediting ‘Yellowstone’ And ‘Maverick’",paramount adds industrybest million subscribers crediting yellowstone maverick,Positive
2023-02-16 18:05:48,"Hasbro keeps expectations low for the start of 2023, but sees turnaround coming",hasbro keeps expectations low start sees turnaround coming,Neutral
2023-02-16 18:06:00,Xilam: 2022 Full Year Revenues,xilam full year revenues,Positive
2023-02-16 19:30:51,Zillow CEO says company is attracting talent at a ‘much greater rate’ thanks to flexible work model,zillow ceo says company attracting talent much greater rate thanks flexible work model,Positive
2023-02-16 20:05:24,US-Best-Sellers-Books-PW,usbestsellersbookspw,Positive
2023-02-16 20:56:55,Five TV shows about love for teenagers,five tv shows love teenagers,Positive
2023-02-16 23:07:07,"Ex-JPM, Barclays exec Staley discussed Disney princesses with Epstein - lawsuit",exjpm barclays exec staley discussed disney princesses epstein lawsuit,Negative
2023-02-17 10:40:53,Disney’s Hotstar suffers outage in an apparent domain renewal mess,disneys hotstar suffers outage apparent domain renewal mess,Negative
2023-02-17 13:20:00,Opinion: This CEO says employees deserve to work from home — and it’s better for business,opinion ceo says employees deserve work home better business,Neutral
2023-02-17 18:44:46,Amazon tells employees to be in the office at least three days a week,amazon tells employees office least three days week,Negative
2023-02-17 20:26:40,'Ant-Man and the Wasp: Quantumania' eyes $100 million open after $17.5 million Thursday,antman wasp quantumania eyes million open million thursday,Negative
2023-02-17 21:34:22,Amazon asks corporate staff to be in offices 3 days a week,amazon asks corporate staff offices days week,Negative
2023-02-17 22:15:37,Amazon calls staff back to office three days a week,amazon calls staff back office three days week,Negative
2023-02-17 23:10:06,Bally Sports Decision To Upend The RSN Model Primes MLB To Take Over Its Own Distribution,bally sports decision upend rsn model primes mlb take distribution,Negative
2023-02-18 01:03:02,Lawsuit alleges Jeffrey Epstein sent JPMorgan Chase exec photos of young women,lawsuit alleges jeffrey epstein sent jpmorgan chase exec photos young women,Negative
2023-02-18 04:30:00,"Brand Strategy Firm Founder, Professor and Speaker Sasha",brand strategy firm founder professor speaker sasha,Positive
2023-02-18 14:48:36,"No, ‘Ant-Man And The Wasp: Quantumania’ Is Not Good",antman wasp quantumania good,Negative
2023-02-18 15:00:01,Why is Universal making a live-action 'How to Train Your Dragon'? These charts may explain,universal making liveaction train dragon charts may explain,Neutral
2023-02-18 17:08:58,Liam Neeson Is Right About Disney-Era ‘Star Wars’,liam neeson right disneyera star wars,Positive
2023-02-19 03:00:12,"Pamela Anderson, a blonde's revenge",pamela anderson blonde revenge,Positive
2023-02-19 17:46:05,‘Ant-Man’ Is First Big Film of 2023 With $104 Million Opening,antman first big film million opening,Positive
2023-02-19 18:09:47,‘Avatar: The Way Of Water’ Surpasses ‘Titanic’ As Third Highest-Grossing Movie Ever,avatar way water surpasses titanic third highestgrossing movie ever,Positive
2023-02-19 18:26:48,Marvel's 'Ant-Man and the Wasp: Quantumania' snares $104 million during domestic debut,marvel antman wasp quantumania snares million domestic debut,Negative
2023-02-19 19:27:26,Ant-Man opens big at box office with $104M for ‘Quantumania’,antman opens big box office quantumania,Positive
2023-02-19 19:57:34,Why Mario Might Not Be So Super For Universal Studios,mario might super universal studios,Neutral
2023-02-19 22:59:00,Disney’s New ‘Ant-Man’ Movie Brings in Over $100 Million on Opening Weekend,disneys new antman movie brings million opening weekend,Positive
2023-02-20 00:07:18,‘Ant-Man’ 3 Sees Big Box Office Draw During Industry’s Slow Season,antman sees big box office draw industrys slow season,Neutral
2023-02-20 01:06:22,Hollywood’s China dream is back,hollywoods china dream back,Positive
2023-02-20 10:48:40,Global Over-the-Top (OTT) Market Report 2023: A 434.5,global overthetop ott market report,Positive
2023-02-20 15:00:01,"Covid's 'legacy of weirdness': Layoffs spread, but some employers can't hire fast enough",covid legacy weirdness layoffs spread employers ca hire fast enough,Neutral
2023-02-20 15:05:46,First Normal Spring Training Since 2019 Will Be A Needed ‘Shot In The Arm’ For Business,first normal spring training since needed shot arm business,Positive
2023-02-20 17:24:32,These Are The Best (And Worst) Performing Stocks Of 2023,best worst performing stocks,Positive
2023-02-20 23:16:39,Australia Briefing: China Thaw Tested,australia briefing china thaw tested,Negative
2023-02-20 23:21:33,The Pac 12’s Leadership Needs To Ink A New Media Deal Then Start ACC Merger Talks.,pac leadership needs ink new media deal start acc merger talks,Neutral
2023-02-21 00:00:00,Leveraging cultural roots: The path to competitive advantage,leveraging cultural roots path competitive advantage,Positive
2023-02-21 10:58:49,"Anil Kapoor Interview: Indian Actor Talks About ‘The Night Manager’, And More",anil kapoor interview indian actor talks night manager,Positive
2023-02-21 11:03:00,Europe Over The Top (OTT) Market Report 2023: Several Regional Players Look to Cut Into Netflix's Dominance - ResearchAndMarkets.com,europe top ott market report several regional players look cut netflix dominance researchandmarketscom,Positive
2023-02-21 13:00:35,"Startups' Hyperloop Dreams Still Distant, Almost 10 Years After Elon Musk Paper",startups hyperloop dreams still distant almost years elon musk paper,Positive
2023-02-21 15:15:12,Choi Min-Sik Says His ‘Big Bet’ Character Was Shaped By A Harsh World,choi minsik says big bet character shaped harsh world,Negative
2023-02-21 15:47:51,Wealth Club leads £4.5 million funding for fashion IP data platform Fabacus,wealth club leads million funding fashion ip data platform fabacus,Positive
2023-02-21 16:30:00,The OTT Streaming Market Is Set To Grow At A 15% Annual,ott streaming market set grow annual,Positive
2023-02-21 16:49:40,"Jansen Panettiere, Brother Of Hayden Panettiere, Dies At 28",jansen panettiere brother hayden panettiere dies,Neutral
2023-02-21 18:43:51,Disney Reveals How It Plans To Put A New Spin On Its Spider-Man Ride,disney reveals plans put new spin spiderman ride,Positive
2023-02-21 19:11:26,"‘Woke’ Willy Wonka: Roald Dahl Controversy, Explained",woke willy wonka roald dahl controversy explained,Negative
2023-02-21 20:21:49,In 2023 Major League Baseball Will Have Several New Rules And Different Ways To Watch Games,major league baseball several new rules different ways watch games,Positive
2023-02-21 22:20:39,Notable Two Hundred Day Moving Average Cross - Walt Disney,notable two hundred day moving average cross walt disney,Positive
2023-02-21 23:32:11,"2023 Layoff Tracker: McKinsey Reportedly Cuts 2,000 Employees",layoff tracker mckinsey reportedly cuts employees,Negative
2023-02-22 02:34:45,"Amazon employees express dismay, anger about sudden return-to-office policy",amazon employees express dismay anger sudden returntooffice policy,Negative
2023-02-22 05:34:13,Ambani Streams Cricket League for Free After Paying $2.7 Billion,ambani streams cricket league free paying billion,Negative
2023-02-22 07:36:00,Anti-ESG crusader Vivek Ramaswamy launches US presidential bid,antiesg crusader vivek ramaswamy launches us presidential bid,Negative
2023-02-22 15:00:00,LVMH Prize Winner KidSuper Designs Art Toys For Superplastic,lvmh prize winner kidsuper designs art toys superplastic,Positive
2023-02-22 15:44:10,How credit scores are evolving to improve access to credit,credit scores evolving improve access credit,Positive
2023-02-22 19:45:00,Study: 2023 Super Bowl Commercials Sparks Consumer Demand,study super bowl commercials sparks consumer demand,Positive
2023-02-22 20:52:00,Disney World's Rock 'n' Roller Coaster Has Shut Down,disney world rock roller coaster shut,Negative
2023-02-22 21:49:54,XFL OPENING WEEKEND DELIVERS WORLD-CLASS PROFESSIONAL,xfl opening weekend delivers worldclass professional,Positive
2023-02-23 10:13:35,The Entrepreneur Who’s Banishing Loneliness And Boosting The Geek Economy,entrepreneur whos banishing loneliness boosting geek economy,Positive
2023-02-23 14:15:00,"In Dialogue: Sarah Kate Ellis, President And CEO Of GLAAD, On The Power Of Media And LGTBQ Representation, Part 2",dialogue sarah kate ellis president ceo glaad power media lgtbq representation part,Positive
2023-02-23 14:30:00,Diamond Sports Group Announces Appointments to Key Executive Roles,diamond sports group announces appointments key executive roles,Positive
2023-02-23 16:30:25,DeSantis Disney ($DIS) Win Is a Warning for Wall Street in 2024,desantis disney win warning wall street,Negative
2023-02-23 16:46:06,Netflix lowers prices in 100+ territories as scrutiny grows over password-sharing rules,netflix lowers prices territories scrutiny grows passwordsharing rules,Negative
2023-02-23 19:31:11,"Netflix cuts prices in some countries to boost subscriptions, shares drop",netflix cuts prices countries boost subscriptions shares drop,Negative
2023-02-23 19:33:26,"Disney Height Restrictions Hack Goes Viral, Angering Thousands",disney height restrictions hack goes viral angering thousands,Negative
2023-02-23 22:04:15,Warner Bros Discovery revenue misses as media giant posts big loss,warner bros discovery revenue misses media giant posts big loss,Negative
2023-02-23 22:50:38,What Is ESG Investing—And Why These Republican-Led States Are Trying To Ban It From Retirement Funds,esg investingand republicanled states trying ban retirement funds,Negative
2023-02-23 22:54:00,"Warner Bros. 4Q Results Weighed Down by Soft Ad Sales, Restructuring Costs",warner bros results weighed soft ad sales restructuring costs,Negative
2023-02-23 23:44:09,"This Week In XR: Mayo Clinic Backs Healium, Pico’s VR Layoffs, Roblox Stock Pops",week xr mayo clinic backs healium picos vr layoffs roblox stock pops,Positive
2023-02-24 05:14:34,Netflix cuts prices for subscribers in more than 30 countries,netflix cuts prices subscribers countries,Negative
2023-02-24 06:13:00,TikTok Video Goes Viral After 'Surprise Me' Trend Goes Wrong,tiktok video goes viral surprise trend goes wrong,Negative
2023-02-24 10:13:43,Middle East and North Africa OTT TV and Video Market Report,middle east north africa ott tv video market report,Positive
2023-02-24 11:47:11,Netflix cuts prices in some countries to boost subscriptions,netflix cuts prices countries boost subscriptions,Negative
2023-02-24 13:31:00,"Singapore to acquire 8 more F-35B fighter jets, growing fleet to 12",singapore acquire fb fighter jets growing fleet,Positive
2023-02-24 17:07:17,Warner Bros. Discovery continues to lose money despite success of ‘The Last of Us’ and ‘Hogwarts Legacy’,warner bros discovery continues lose money despite success last us hogwarts legacy,Negative
2023-02-24 18:50:40,Tax Defier Who Bragged About Spanking IRS Convicted On Ten Counts,tax defier bragged spanking irs convicted ten counts,Negative
2023-02-24 19:00:00,Nexstar Names Joe Ruffolo Senior Vice President and General Manager for The Hill and NewsNation Digital,nexstar names joe ruffolo senior vice president general manager hill newsnation digital,Positive
2023-02-24 19:15:36,In A Rut? Eight Actions That Will Help Improve Your Creative Thinking Skills,rut eight actions help improve creative thinking skills,Positive
2023-02-24 19:39:47,"Meet Christine Smith, Former Architect Turned Top Cannabis Edibles CEO",meet christine smith former architect turned top cannabis edibles ceo,Positive
2023-02-24 19:50:06,"DDP Advises Sami Zayn To Be Patient, Talks Reinventing Jake Roberts’ DDT",ddp advises sami zayn patient talks reinventing jake roberts ddt,Positive
2023-02-24 19:53:54,"Roald Dahl Publisher Puffin Books Is Having Its Cake And Eating It, Too",roald dahl publisher puffin books cake eating,Negative
2023-02-24 20:00:38,Leading French Players Withdraw From National Team Ahead Of Women’s World Cup,leading french players withdraw national team ahead womens world cup,Negative
2023-02-24 20:04:14,Yuya Yagira Talks Disney’s Gut-Churning Series ‘Gannibal’,yuya yagira talks disneys gutchurning series gannibal,Positive
2023-02-24 20:04:45,Artificial Intelligence Companies You May Want To Invest In Now,artificial intelligence companies may want invest,Positive
2023-02-24 20:08:58,"Amazon Return To Office Mandate, And What’s Happening With Amazon Stock?",amazon return office mandate whats happening amazon stock,Negative
2023-02-24 20:15:56,Netflix cuts prices in some markets to lure more subscribers,netflix cuts prices markets lure subscribers,Negative
2023-02-24 20:46:42,‘Quantumania’ And The Incredible Shrinking MCU,quantumania incredible shrinking mcu,Positive
2023-02-24 21:29:43,Eric Stonestreet Joins Season 2 Of Disney+’s ‘The Santa Clauses’,eric stonestreet joins season disneys santa clauses,Positive
2023-02-24 21:39:09,From Renegade Cigar Maker To Disruptive Film Maker,renegade cigar maker disruptive film maker,Positive
2023-02-24 23:56:56,TikTok’s teenage filter has us confronting our own mortality,tiktoks teenage filter us confronting mortality,Positive
2023-02-25 11:30:00,Americans in Their 30s Are Piling On Debt,americans piling debt,Negative
2023-02-25 13:42:02,Third Point’s Dan Loeb pens a pointed letter to Bath & Body Works – What could happen next,third points dan loeb pens pointed letter bath body works could happen next,Positive
2023-02-25 15:00:01,Movie theaters aren't dying — they're evolving,movie theaters dying evolving,Positive
2023-02-25 15:30:00,"Jake Paul Vs. Tommy Fury: Odds, Records, Prediction",jake paul vs tommy fury odds records prediction,Positive
2023-02-25 15:59:40,"There Is No Ending Planned For ‘The Mandalorian,’ Which Seems Bad",ending planned mandalorian seems bad,Negative
2023-02-25 22:15:53,"Magic Eraser comes to more devices, Spotify gains an AI DJ, and Netflix decreases prices",magic eraser comes devices spotify gains ai dj netflix decreases prices,Positive
2023-02-26 18:44:14,Star Wars: The Force Awakens Becomes The Most Expensive Movie In History,star wars force awakens becomes expensive movie history,Negative
2023-02-27 00:42:16,American Businesses are So Happy China is Back Open,american businesses happy china back open,Positive
2023-02-27 05:13:00,United Made A Simple Change That’s Good News For Every Traveler. It’s Hard To Believe It Took This Long,united made simple change thats good news every traveler hard believe took long,Positive
2023-02-27 06:42:53,Carbon credits: A contested tool to fight deforestation,carbon credits contested tool fight deforestation,Positive
2023-02-27 09:00:00,Who is Vivek Ramaswamy — the biotech entrepreneur turned presidential candidate?,vivek ramaswamy biotech entrepreneur turned presidential candidate,Negative
2023-02-27 12:33:00,"Factbox-Tech firms, Wall Street lead job cuts in corporate America",factboxtech firms wall street lead job cuts corporate america,Neutral
2023-02-27 14:45:00,Decarbonizing The Shipping Sector Is A Long Trip But Within Reach,decarbonizing shipping sector long trip within reach,Neutral
2023-02-27 16:00:00,[Latest] Global Animation Market Size/Share Worth USD 528.8,latest global animation market sizeshare worth usd,Positive
2023-02-27 16:14:28,Here’s What We Know About Ron DeSantis’ Book As It Hits The Shelves,heres know ron desantis book hits shelves,Positive
2023-02-27 16:33:00,Florida Gov. DeSantis ends 'corporate kingdom' of Walt Disney World,florida gov desantis ends corporate kingdom walt disney world,Positive
2023-02-27 16:43:07,DeSantis Now Controls Disney World’s Special District—Here’s What That Means,desantis controls disney worlds special districtheres means,Positive
2023-02-27 16:43:53,"DeSantis takes over Disney district, punishing company",desantis takes disney district punishing company,Negative
2023-02-27 17:43:03,Ron DeSantis Signs Florida Law to Take Control of Disney Special District (DIS),ron desantis signs florida law take control disney special district dis,Positive
2023-02-27 20:20:20,We’ve Hit Peak Pedro Pascal,weve hit peak pedro pascal,Positive
2023-02-27 20:24:06,Bowdoin president walks back praise for friend of Epstein,bowdoin president walks back praise friend epstein,Negative
2023-02-27 20:26:00,Ron DeSantis Appoints Allies to Oversee Disney’s Special-Tax District,ron desantis appoints allies oversee disneys specialtax district,Positive
2023-02-27 22:13:15,"After splitting with Kanye West, British audio startup Kano asks for funding",splitting kanye west british audio startup kano asks funding,Neutral
2023-02-27 22:49:58,Ron DeSantis tightens his control over Walt Disney World,ron desantis tightens control walt disney world,Positive
2023-02-28 00:23:50,Florida takes over Disney district to punish 'woke' politics,florida takes disney district punish woke politics,Positive
2023-02-28 02:04:41,Disney+ Approach To Black History Month Was A Win,disney approach black history month win,Positive
2023-02-28 03:38:13,Florida takes over Disney district to punish 'woke' politics,florida takes disney district punish woke politics,Positive
2023-02-28 04:32:34,What is Ron DeSantis waiting for?,ron desantis waiting,Neutral
2023-02-28 07:00:00,How My Son and I Created a Family Jewelry Business From the Ground Up,son created family jewelry business ground,Positive
2023-02-28 07:13:58,Asian Tourism Stocks Rise as Covid Travel Restrictions Ease,asian tourism stocks rise covid travel restrictions ease,Positive
2023-02-28 10:05:28,Ron DeSantis scores victory in culture war over Disneyworld controversy,ron desantis scores victory culture war disneyworld controversy,Positive
2023-02-28 12:00:00,Here’s everything new coming to Hulu in March 2023 — and what’s leaving,heres everything new coming hulu march whats leaving,Negative
2023-02-28 13:00:00,Ant-Man’s Shrinkage Is a Problem for Disney—and Theaters,antmans shrinkage problem disneyand theaters,Negative
2023-02-28 14:15:00,Navigating 2023’s Risk Riptides Requires All Hands On Deck,navigating risk riptides requires hands deck,Negative
2023-02-28 14:30:39,7 Must-See TV Shows Coming Out In March From ‘Ted Lasso’ To ‘The Mandalorian’,mustsee tv shows coming march ted lasso mandalorian,Positive
2023-02-28 14:32:29,"With More People Embracing Wellness, This “Nutritionista” Decided To Scale Up Her Formerly One-Person Business. It’s Picking Up Steam.",people embracing wellness nutritionista decided scale formerly oneperson business picking steam,Positive
2023-02-28 14:36:27,Should Manchester United Be Pursuing AFC Ajax’s Mohammed Kudus?,manchester united pursuing afc ajaxs mohammed kudus,Negative
2023-02-28 14:45:00,Who Is Who In Argentina’s Fragmented Political Field: A Guide To Understand The 2023 Presidential Elections,argentinas fragmented political field guide understand presidential elections,Positive
2023-02-28 15:00:00,Using AI To Compliment Cybersecurity And Threat Detection,using ai compliment cybersecurity threat detection,Positive
2023-02-28 15:34:08,"Here Are The 5 DeSantis Allies—Including Conservative Donors, Christian Activists—He Picked To Run Disney’s District",desantis alliesincluding conservative donors christian activistshe picked run disneys district,Positive
2023-02-28 15:36:29,Everything We Know About ‘Outer Banks’ Season 4 On Netflix,everything know outer banks season netflix,Positive
2023-02-28 16:11:38,Garth Fagan and Dancers Wow Sold-Out Audience at Texas A&M,garth fagan dancers wow soldout audience texas,Positive
2023-02-28 17:19:00,UNest Unveils Saving and Investing Accounts for Expectant Parents,unest unveils saving investing accounts expectant parents,Positive
2023-02-28 18:23:00,'Ant-Man and the Wasp: Quantumania' box office suffered steep decline in second week,antman wasp quantumania box office suffered steep decline second week,Negative
2023-02-28 18:29:59,What Is ESG Investing—And Why Republicans Are Trying To Ban It From Retirement Funds,esg investingand republicans trying ban retirement funds,Negative
2023-02-28 19:53:00,Ron DeSantis's New Memoir Says Little About Himself or Trump,ron desantis new memoir says little trump,Neutral
2023-02-28 21:34:10,Bitwise Industries Announces $80M To Train Tech Workers,bitwise industries announces train tech workers,Positive
2023-02-28 22:22:42,Mozilla leads Mastodon app Mammoth’s pre-seed funding,mozilla leads mastodon app mammoths preseed funding,Positive
2023-02-28 22:26:00,AMC beats revenue estimates as 'Avatar' lures movie fans,amc beats revenue estimates avatar lures movie fans,Positive
2023-02-28 22:37:00,"AMC stock tumbles after 14th consecutive quarterly loss, fourth straight year in the red",amc stock tumbles th consecutive quarterly loss fourth straight year red,Negative
2023-03-01 00:04:10,Ron DeSantis' plan to make America Florida (and beat Donald Trump),ron desantis plan make america florida beat donald trump,Positive
2023-03-01 01:55:11,Here’s A Recap Of ‘The Mandalorian’ Before You Watch Season 3,heres recap mandalorian watch season,Positive
2023-03-01 11:03:55,Video Streaming Market Size [2022-2029] Worth USD 1690.35,video streaming market size worth usd,Positive
2023-03-01 12:00:00,Dow Stocks To Trade In March,dow stocks trade march,Positive
2023-03-01 12:30:00,Disney’s PhotoPass Service Combines New Tech With Disney Storytelling,disneys photopass service combines new tech disney storytelling,Positive
2023-03-01 12:35:36,Republicans In Florida Are Trying To Get Rid Of The Democratic Party,republicans florida trying get rid democratic party,Neutral
2023-03-01 14:23:11,Revealed: Disney's Most Profitable Star Wars Movie,revealed disney profitable star wars movie,Positive
